epoch,train_loss,val_accuracy,val_recall,val_precision,val_f1,val_roc_auc,val_pr_auc,lr,elapsed_s
1,0.700535,0.5541,0.6971,0.5734,0.6292,0.5833,0.6381,9.891e-05,31.0
2,0.677758,0.6374,0.6141,0.6852,0.6477,0.7169,0.7732,9.568e-05,60.6
3,0.616454,0.6599,0.5851,0.7344,0.6513,0.7104,0.7546,9.045e-05,96.0
4,0.532459,0.8581,0.8423,0.8904,0.8657,0.9597,0.9681,8.346e-05,124.1
5,0.420885,0.8829,0.8672,0.9127,0.8894,0.9694,0.9744,7.5e-05,157.2
6,0.314065,0.8761,0.9627,0.8345,0.894,0.9588,0.964,6.545e-05,185.1
7,0.228576,0.8266,0.7718,0.8942,0.8285,0.9465,0.9572,5.523e-05,210.5
8,0.179069,0.8986,0.9295,0.8889,0.9087,0.9752,0.9796,4.477e-05,236.9
9,0.146429,0.8761,0.8423,0.9227,0.8807,0.9539,0.9682,3.455e-05,266.3
10,0.100215,0.9032,0.8921,0.9267,0.9091,0.9847,0.9873,2.5e-05,293.5
11,0.083028,0.8964,0.8672,0.9372,0.9009,0.9835,0.9864,1.654e-05,330.0
12,0.095647,0.9144,0.8423,1.0,0.9144,0.992,0.9933,9.55e-06,366.3
13,0.085589,0.9369,0.8921,0.9908,0.9389,0.996,0.9967,4.32e-06,400.5
14,0.071502,0.9324,0.8755,1.0,0.9336,0.9958,0.9964,1.09e-06,433.4
15,0.066667,0.9234,0.8589,1.0,0.9241,0.9952,0.9959,0.0,463.0
