corruption,severity,severity_idx,accuracy,f1,roc_auc
baseline,—,0,0.9639,0.9667,0.9981
gaussian_blur,σ=0.5,1,0.9571,0.9602,0.9985
gaussian_blur,σ=1.0,2,0.9707,0.9741,0.9982
gaussian_blur,σ=2.0,3,0.7336,0.79,0.8334
gaussian_blur,σ=4.0,4,0.6072,0.7331,0.6248
gaussian_blur,σ=8.0,5,0.5643,0.6667,0.5357
jpeg_compression,Q=80,1,0.6998,0.7809,0.7494
jpeg_compression,Q=60,2,0.5485,0.6951,0.6977
jpeg_compression,Q=40,3,0.5779,0.7262,0.5913
jpeg_compression,Q=25,4,0.5598,0.7178,0.5238
jpeg_compression,Q=10,5,0.5598,0.7178,0.5106
downscale_upscale,f=0.9,1,0.9729,0.9752,0.999
downscale_upscale,f=0.75,2,0.9752,0.9774,0.997
downscale_upscale,f=0.5,3,0.9481,0.9548,0.9918
downscale_upscale,f=0.33,4,0.7698,0.8283,0.9123
downscale_upscale,f=0.2,5,0.6117,0.7425,0.6866
rotation,°=2,1,0.9661,0.9695,0.9971
rotation,°=5,2,0.9526,0.9591,0.9961
rotation,°=10,3,0.8104,0.8421,0.944
rotation,°=20,4,0.6682,0.7521,0.77
rotation,°=45,5,0.544,0.6721,0.5849
brightness,Δ=-0.4,1,0.535,0.5253,0.5294
brightness,Δ=-0.2,2,0.7472,0.7724,0.8764
brightness,Δ=0.2,3,0.6433,0.6343,0.6957
brightness,Δ=0.4,4,0.5034,0.5378,0.5019
brightness,Δ=0.6,5,0.4876,0.5261,0.4907
gaussian_noise,σ=0.02,1,0.781,0.781,0.9067
gaussian_noise,σ=0.05,2,0.5621,0.589,0.6299
gaussian_noise,σ=0.1,3,0.5372,0.5756,0.5198
gaussian_noise,σ=0.15,4,0.4989,0.5488,0.5136
gaussian_noise,σ=0.2,5,0.4921,0.5631,0.495
center_crop,keep=0.95,1,0.9684,0.9714,0.9964
center_crop,keep=0.85,2,0.9391,0.9472,0.9923
center_crop,keep=0.7,3,0.842,0.8727,0.913
center_crop,keep=0.5,4,0.5621,0.7172,0.6765
center_crop,keep=0.3,5,0.5598,0.7178,0.5322
random_occlusion,area=0.05,1,0.9368,0.9402,0.9963
random_occlusion,area=0.1,2,0.9616,0.9649,0.9959
random_occlusion,area=0.2,3,0.9323,0.9421,0.9781
random_occlusion,area=0.3,4,0.7088,0.7701,0.7975
random_occlusion,area=0.4,5,0.6185,0.6613,0.7291
