corruption,severity,severity_idx,accuracy,f1,roc_auc
baseline,—,0,0.9752,0.9769,0.9992
gaussian_blur,σ=0.5,1,0.9842,0.9854,0.9998
gaussian_blur,σ=1.0,2,0.9797,0.9813,0.9997
gaussian_blur,σ=2.0,3,0.8581,0.8701,0.9327
gaussian_blur,σ=4.0,4,0.6216,0.7181,0.6338
gaussian_blur,σ=8.0,5,0.5541,0.7054,0.5195
jpeg_compression,Q=80,1,0.6869,0.7522,0.8383
jpeg_compression,Q=60,2,0.5946,0.7214,0.7023
jpeg_compression,Q=40,3,0.5901,0.7138,0.6059
jpeg_compression,Q=25,4,0.5315,0.6941,0.5748
jpeg_compression,Q=10,5,0.5495,0.7093,0.4952
downscale_upscale,f=0.9,1,0.9932,0.9938,0.9998
downscale_upscale,f=0.75,2,0.991,0.9918,0.9996
downscale_upscale,f=0.5,3,0.9865,0.9876,0.9992
downscale_upscale,f=0.33,4,0.8468,0.8727,0.9567
downscale_upscale,f=0.2,5,0.6059,0.736,0.6926
rotation,°=2,1,0.9775,0.9791,0.999
rotation,°=5,2,0.9234,0.9264,0.9918
rotation,°=10,3,0.6824,0.5937,0.9632
rotation,°=20,4,0.4527,0.0082,0.8158
rotation,°=45,5,0.4527,0.0082,0.5999
brightness,Δ=-0.4,1,0.4752,0.1708,0.5596
brightness,Δ=-0.2,2,0.6824,0.6394,0.8162
brightness,Δ=0.2,3,0.6014,0.462,0.7519
brightness,Δ=0.4,4,0.4459,0.1458,0.4842
brightness,Δ=0.6,5,0.4595,0.2258,0.5206
gaussian_noise,σ=0.02,1,0.7455,0.7139,0.9009
gaussian_noise,σ=0.05,2,0.5113,0.3282,0.6003
gaussian_noise,σ=0.1,3,0.4527,0.1927,0.4986
gaussian_noise,σ=0.15,4,0.482,0.3646,0.4797
gaussian_noise,σ=0.2,5,0.4887,0.3947,0.4855
center_crop,keep=0.95,1,0.9775,0.9791,0.9999
center_crop,keep=0.85,2,0.9797,0.9816,0.9994
center_crop,keep=0.7,3,0.7748,0.7881,0.8864
center_crop,keep=0.5,4,0.6239,0.7193,0.6258
center_crop,keep=0.3,5,0.5631,0.6997,0.5571
random_occlusion,area=0.05,1,0.9032,0.9034,0.9938
random_occlusion,area=0.1,2,0.9054,0.9058,0.995
random_occlusion,area=0.2,3,0.8919,0.8909,0.9871
random_occlusion,area=0.3,4,0.6667,0.5843,0.8578
random_occlusion,area=0.4,5,0.5676,0.4754,0.7226
