epoch,train_loss,val_accuracy,val_recall,val_precision,val_f1,val_roc_auc,val_pr_auc,lr,elapsed_s
1,0.715861,0.4955,0.6805,0.5273,0.5942,0.5038,0.5968,9.891e-05,48.6
2,0.692409,0.5248,0.2324,0.6829,0.3467,0.664,0.6545,9.568e-05,79.9
3,0.691772,0.5428,0.2614,0.7159,0.383,0.6934,0.6996,9.045e-05,111.0
4,0.670564,0.7095,0.9461,0.6628,0.7795,0.7954,0.7862,8.346e-05,141.1
5,0.591635,0.7523,0.6763,0.8359,0.7477,0.8578,0.8626,7.5e-05,170.7
6,0.477475,0.8041,0.7469,0.8738,0.8054,0.8982,0.9154,6.545e-05,200.1
7,0.373305,0.8356,0.6971,1.0,0.8215,0.9651,0.9741,5.523e-05,230.4
8,0.269227,0.8784,0.8382,0.9309,0.8821,0.9672,0.9738,4.477e-05,260.4
9,0.182027,0.9279,0.8755,0.9906,0.9295,0.9929,0.9939,3.455e-05,290.2
10,0.144043,0.9527,0.917,0.9955,0.9546,0.9956,0.9965,2.5e-05,320.0
11,0.109127,0.9707,0.9834,0.9634,0.9733,0.9976,0.9981,1.654e-05,350.3
12,0.095537,0.9932,1.0,0.9877,0.9938,0.9993,0.9994,9.55e-06,380.9
13,0.081841,0.9932,1.0,0.9877,0.9938,0.9996,0.9996,4.32e-06,411.2
14,0.047749,0.9977,1.0,0.9959,0.9979,0.9997,0.9998,1.09e-06,441.5
15,0.061612,0.9932,1.0,0.9877,0.9938,0.9997,0.9998,0.0,471.7
